ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2022
1,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,,kWh (Net CV),kg CO2e,0.25631
1,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,,kWh (Net CV),kg CO2e of CO2,0.25257
1,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,,kWh (Net CV),kg CO2e of CH4,0.00003
1,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,,kWh (Net CV),kg CO2e of N2O,0.00371
1,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,,kWh (Gross CV),kg CO2e,0.24115
1,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,,kWh (Gross CV),kg CO2e of CO2,0.23764
1,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,,kWh (Gross CV),kg CO2e of CH4,0.00002
1,Scope 1,Fuels,Liquid fuels,Diesel (average biofuel blend),,,kWh (Gross CV),kg CO2e of N2O,0.00349
1,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,,tonnes,kg CO2e,3208.76
1,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,,tonnes,kg CO2e of CO2,3164.33
1,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,,tonnes,kg CO2e of CH4,0.31
1,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,,tonnes,kg CO2e of N2O,44.12
1,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,,litres,kg CO2e,2.6988
1,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,,litres,kg CO2e of CO2,2.66134
1,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,,litres,kg CO2e of CH4,0.00026
1,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,,litres,kg CO2e of N2O,0.0372
1,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,,kWh (Net CV),kg CO2e,0.26939
1,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,,kWh (Net CV),kg CO2e of CO2,0.26565
1,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,,kWh (Net CV),kg CO2e of CH4,0.00003
1,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,,kWh (Net CV),kg CO2e of N2O,0.00371
1,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,,kWh (Gross CV),kg CO2e,0.25321
1,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,,kWh (Gross CV),kg CO2e of CO2,0.24971
1,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,,kWh (Gross CV),kg CO2e of CH4,0.00002
1,Scope 1,Fuels,Liquid fuels,Diesel (100% mineral diesel),,,kWh (Gross CV),kg CO2e of N2O,0.00348
1,Scope 1,Fuels,Liquid fuels,Fuel oil,,,tonnes,kg CO2e,3229.2
1,Scope 1,Fuels,Liquid fuels,Fuel oil,,,tonnes,kg CO2e of CO2,3216.38
1,Scope 1,Fuels,Liquid fuels,Fuel oil,,,tonnes,kg CO2e of CH4,4.81
1,Scope 1,Fuels,Liquid fuels,Fuel oil,,,tonnes,kg CO2e of N2O,8.01
1,Scope 1,Fuels,Liquid fuels,Fuel oil,,,litres,kg CO2e,3.17523
1,Scope 1,Fuels,Liquid fuels,Fuel oil,,,litres,kg CO2e of CO2,3.16262
1,Scope 1,Fuels,Liquid fuels,Fuel oil,,,litres,kg CO2e of CH4,0.00473
1,Scope 1,Fuels,Liquid fuels,Fuel oil,,,litres,kg CO2e of N2O,0.00788
1,Scope 1,Fuels,Liquid fuels,Fuel oil,,,kWh (Net CV),kg CO2e,0.28526
1,Scope 1,Fuels,Liquid fuels,Fuel oil,,,kWh (Net CV),kg CO2e of CO2,0.28413
1,Scope 1,Fuels,Liquid fuels,Fuel oil,,,kWh (Net CV),kg CO2e of CH4,0.00042
1,Scope 1,Fuels,Liquid fuels,Fuel oil,,,kWh (Net CV),kg CO2e of N2O,0.00071
1,Scope 1,Fuels,Liquid fuels,Fuel oil,,,kWh (Gross CV),kg CO2e,0.26816
1,Scope 1,Fuels,Liquid fuels,Fuel oil,,,kWh (Gross CV),kg CO2e of CO2,0.26709
1,Scope 1,Fuels,Liquid fuels,Fuel oil,,,kWh (Gross CV),kg CO2e of CH4,0.0004
1,Scope 1,Fuels,Liquid fuels,Fuel oil,,,kWh (Gross CV),kg CO2e of N2O,0.00067
1,Scope 1,Fuels,Liquid fuels,Gas oil,,,tonnes,kg CO2e,3230.28
1,Scope 1,Fuels,Liquid fuels,Gas oil,,,tonnes,kg CO2e of CO2,3190
1,Scope 1,Fuels,Liquid fuels,Gas oil,,,tonnes,kg CO2e of CH4,3.29
1,Scope 1,Fuels,Liquid fuels,Gas oil,,,tonnes,kg CO2e of N2O,36.99
